2021-05-07 00:07:31 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:31 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:31 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:31 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:32 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:32 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:32 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:32 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:32 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:32 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:32 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:32 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:32 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:32 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:32 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:32 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:32 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:32 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:32 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:32 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:32 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:32 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:32 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:32 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:32 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:32 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:32 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:32 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:32 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:32 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:32 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:32 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:32 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:32 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:32 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:32 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:32 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:32 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:32 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:32 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:32 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:32 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:32 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:32 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:32 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:32 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:32 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:32 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:32 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:32 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:32 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:32 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:32 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:32 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:32 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:32 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:32 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:33 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:33 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:33 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:33 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:33 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:33 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:33 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:33 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:33 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
